model,experiment_name,n_params,n_train,n_val,n_test,best_val_auroc,auroc,auprc,accuracy,f1,categorical,embedding,feature_augment,input_dim,metadata,peptide_embedding,tcr_embedding,tcr_input,threshold
cnn,one_hot,71937.0,115188,46038,43716,0.5376311886932382,0.6310166242615666,0.4589402454477103,0.6486412297556958,0.3967954759660697,,one_hot,none,,,one_hot,one_hot,,
cnn,one_hot_aug-one_hot,81857.0,115188,46038,43716,0.5019393898122577,0.666649061306273,0.4331337085326174,0.6453929911245311,0.3450228156160216,,one_hot,one_hot,,,one_hot,one_hot,,
cnn,autoencoder,58497.0,115188,46038,43716,0.5126563761970736,0.5070406288696427,0.3228104382451263,0.6544057095800164,0.0284244372990353,,autoencoder,none,,,autoencoder/plain_ae,autoencoder/plain_ae,,
cnn,autoencoder_aug-cat_ae,62657.0,115188,46038,43716,0.6488353132451335,0.4957852592965351,0.3183255888620009,0.6110577362979229,0.1539533263671194,,autoencoder,cat_ae,,,autoencoder/plain_ae,autoencoder/plain_ae,,
cnn,vae,58497.0,115188,46038,43716,0.5279356090603522,0.5965687620012532,0.4121669088391436,0.6644477994327019,0.0067709391292572,,vae,none,,,autoencoder/vae,autoencoder/vae,,
cnn,vae_aug-cat_ae,62657.0,115188,46038,43716,0.4995294007063685,0.5582158452505658,0.3863384025020233,0.6217860737487418,0.332498990714574,,vae,cat_ae,,,autoencoder/vae,autoencoder/vae,,
cnn,esm_cdr3,58497.0,115188,46038,43716,0.4848960911273455,0.5062379419381973,0.314731693974362,0.6644935492725775,0.0040741495212874,,esm/cdr3,none,,,autoencoder/plain_ae,esm/cdr3,,
cnn,esm_cdr3_aug-cat_ae,62657.0,115188,46038,43716,0.5142975756284989,0.3854284200814419,0.2701705370552272,0.5388873638942264,0.2186821705426356,,esm/cdr3,cat_ae,,,autoencoder/plain_ae,esm/cdr3,,
cnn,esm_full,58497.0,115188,46038,43716,0.5357069740585165,0.5083674122977722,0.3351630947824387,0.6366318967883613,0.122327200397812,,esm/full,none,,,autoencoder/plain_ae,esm/full,,
cnn,esm_full_aug-cat_ae,62657.0,115188,46038,43716,0.7273748527577842,0.5048987936672366,0.3280732886680166,0.6044240095159666,0.1954124598706555,,esm/full,cat_ae,,,autoencoder/plain_ae,esm/full,,
cross_attention,cross_attention_raw,143233.0,115188,46038,43716,0.5865581224310266,0.6456793062981732,0.4340324626710629,0.6522554671058651,0.4697963169642857,,,,,none,,,raw,
cross_attention,cross_attention_raw_aug-cat_ae,147393.0,115188,46038,43716,0.5578855666220845,0.6861455786108894,0.4699613406322423,0.6595983164058926,0.4643461358482416,,,,,cat_ae,,,raw,
