experiment_name,embedding,tcr_embedding,peptide_embedding,feature_augment,n_params,n_train,n_val,n_test,best_val_auroc,auroc,auprc,accuracy,f1
one_hot,one_hot,one_hot,one_hot,none,71937,261118,31109,35616,0.8998959124756256,0.6009190812360697,0.4052940474611735,0.7168688230008985,0.2765102597216243
one_hot_aug-one_hot,one_hot,one_hot,one_hot,one_hot,81729,261118,31109,35616,0.94120821443871,0.5308968294413685,0.311011105678502,0.6748371518418689,0.1652130036762056
autoencoder,autoencoder,autoencoder/plain_ae,autoencoder/plain_ae,none,58497,261118,31109,35616,0.8265081887186794,0.4486967690571016,0.2680185583185204,0.7115902964959568,0.0200343445907269
autoencoder_aug-cat_ae,autoencoder,autoencoder/plain_ae,autoencoder/plain_ae,cat_ae,62657,261118,31109,35616,0.902980666462604,0.5879648771257089,0.3574573169268719,0.7040375112309074,0.0204441966360003
vae,vae,autoencoder/vae,autoencoder/vae,none,58497,261118,31109,35616,0.8232517208003681,0.5297988915448565,0.3230162493736672,0.7125449236298292,0.015576923076923
vae_aug-cat_ae,vae,autoencoder/vae,autoencoder/vae,cat_ae,62657,261118,31109,35616,0.9051567257223202,0.6399768078261087,0.4103337764131507,0.7094564240790656,0.0809946714031971
esm_cdr3_aug-cat_ae,esm/cdr3,esm/cdr3,autoencoder/plain_ae,cat_ae,62657,261093,31109,35608,0.8947443749909969,0.6148713656061535,0.4393502893664748,0.7270838013929454,0.1830867518493611
esm_cdr3,esm/cdr3,esm/cdr3,autoencoder/plain_ae,none,58497,261093,31109,35608,0.8198210554106774,0.54283156080928,0.3486792383151678,0.7126769265333633,0.0172894054365574
esm_full_aug-cat_ae,esm/full,esm/full,autoencoder/plain_ae,cat_ae,62657,261093,31109,35608,0.8406734493908632,0.5040703737376162,0.2775133451631149,0.7077061334531566,0.007249141549027
esm_full,esm/full,esm/full,autoencoder/plain_ae,none,58497,261093,31109,35608,0.7393554427572112,0.5667105122612214,0.3564811554541679,0.7122556728824984,0.004082426127527216
